,SHIPMENT_NUMBER,Record Timestamp,Delay (minutes)
159,SEZHUK-231016-253480,2023-10-17 13:53:00,116.613
160,SEZHUK-231016-253505,2023-10-18 14:48:00,1610.247999983333
161,SEZHUK-231016-253565,2023-10-20 09:55:00,240.4573333333333
162,SEZHUK-231016-253604,2023-10-19 12:46:00,252.58799998333333
163,SEZHUK-231016-253615,2023-11-20 02:05:00,42998.62133333333
164,SEZHUK-231016-253625,2023-10-18 13:35:00,337.3519999833333
165,SEZHUK-231017-253664,2023-10-19 13:17:00,1534.7259999833334
166,SEZHUK-231017-253695,2023-10-20 10:02:00,62.412
167,SEZHUK-231017-253698,2023-10-19 10:07:00,94.426
168,SEZHUK-231017-253756,2023-10-19 11:47:00,52.87399998333333
169,SEZHUK-231017-253774,2023-10-27 10:50:00,13185.485
170,SEZHUK-231017-253793,2023-10-19 17:32:00,93.156
171,SEZHUK-231017-253829,2023-10-19 11:36:00,53.01199999999999
172,SEZHUK-231017-253875,2023-10-18 14:41:00,173.663
173,SEZHUK-231018-253901,2023-10-20 14:30:00,54.295
174,SEZHUK-231018-253947,2023-10-18 15:22:00,314.1809999833333
175,SEZHUK-231018-253989,2023-10-20 06:57:00,0.021
176,SEZHUK-231018-254026,2023-10-20 19:40:00,75.93900000000001
177,SEZHUK-231018-254065,2023-10-20 09:55:00,0.294
178,SEZHUK-231018-254072,2023-10-20 06:31:00,94.228
179,SEZHUK-231018-254103,2023-10-25 22:32:00,183.962
180,SEZHUK-231018-254109,2023-10-25 23:35:00,359.423
181,SEZHUK-231018-254110,2023-10-26 21:52:00,200.126
182,SEZHUK-231018-254111,2023-10-27 21:03:00,147.83899998333334
183,SEZHUK-231018-254118,2023-10-25 21:17:00,7302.226
184,SEZHUK-231018-254120,2023-10-23 13:09:00,4592.673
185,SEZHUK-231018-254122,2023-10-20 13:06:00,332.742
186,SEZHUK-231018-254127,2023-10-20 11:12:00,1541.135
187,SEZHUK-231018-254128,2023-10-20 06:17:00,14.945
188,SEZHUK-231018-254183,2023-10-20 15:02:00,98.369
189,SEZHUK-231018-254187,2023-10-20 11:07:00,12.131
190,SEZHUK-231018-254220,2023-10-30 00:23:00,13450.167
191,SEZHUK-231019-254249,2023-10-23 08:00:00,1.988
192,SEZHUK-231019-254336,2023-10-25 08:04:00,283.817
193,SEZHUK-231019-254383,2023-10-26 14:52:00,3704.346
194,SEZHUK-231019-254392,2023-10-21 13:53:00,115.096
195,SEZHUK-231019-254411,2023-10-21 22:32:00,34.099000000000004
196,SEZHUK-231019-254541,2023-11-14 11:09:00,29446.724999983333
197,SEZHUK-231019-254545,2023-11-14 11:33:00,25150.401
198,SEZHUK-231019-254548,2023-11-14 11:24:00,26581.576999983336
199,SEZHUK-231019-254555,2023-11-14 11:16:00,28013.792
200,SEZHUK-231019-254563,2023-10-20 23:52:00,24.615
201,SEZHUK-231019-254604,2023-10-23 17:57:00,119.56399998333332
